"Sample","Orchard","Location","Row","Direction","Interval","Interval.Duration","Date","PollenType","Count","TotalPollen","NonCherry","Propos","num"
7,"HBA","ROW","1B","N","PM",15,"17 May 2016","Cherry",117,176,59,0.6647727273,114
8,"HBA","ROW","1B","S","AM",9,"17 May 2016","Cherry",25,63,38,0.3968253968,115
8,"HBA","ROW","1B","S","PM",15,"17 May 2016","Cherry",111,189,78,0.5873015873,116
11,"HBA","ROW","1C","N","AM",9,"17 May 2016","Cherry",52,93,41,0.5591397849,117
11,"HBA","ROW","1C","N","PM",15,"17 May 2016","Cherry",94,143,49,0.6573426573,118
12,"HBA","ROW","1C","S","AM",9,"17 May 2016","Cherry",70,99,29,0.7070707071,119
12,"HBA","ROW","1C","S","PM",15,"17 May 2016","Cherry",201,303,102,0.6633663366,120
15,"HBA","ROW","2A","N","AM",9,"17 May 2016","Cherry",52,83,31,0.6265060241,121
15,"HBA","ROW","2A","N","PM",15,"17 May 2016","Cherry",73,110,37,0.6636363636,122
16,"HBA","ROW","2A","S","AM",9,"17 May 2016","Cherry",108,180,72,0.6,123
16,"HBA","ROW","2A","S","PM",15,"17 May 2016","Cherry",116,189,73,0.6137566138,124
19,"HBA","ROW","2B","N","AM",9,"17 May 2016","Cherry",26,55,29,0.4727272727,125
19,"HBA","ROW","2B","N","PM",15,"17 May 2016","Cherry",133,200,67,0.665,126
20,"HBA","ROW","2B","S","AM",9,"17 May 2016","Cherry",117,196,79,0.5969387755,127
20,"HBA","ROW","2B","S","PM",15,"17 May 2016","Cherry",120,201,81,0.5970149254,128
23,"HBA","ROW","2C","N","AM",9,"17 May 2016","Cherry",21,40,19,0.525,129
23,"HBA","ROW","2C","N","PM",15,"17 May 2016","Cherry",96,142,46,0.676056338,130
24,"HBA","ROW","2C","S","AM",9,"17 May 2016","Cherry",104,147,43,0.7074829932,131
24,"HBA","ROW","2C","S","PM",15,"17 May 2016","Cherry",234,349,115,0.670487106,132
27,"HBA","ROW","3A","N","AM",9,"17 May 2016","Cherry",41,63,22,0.6507936508,133
27,"HBA","ROW","3A","N","PM",15,"17 May 2016","Cherry",89,133,44,0.6691729323,134
28,"HBA","ROW","3A","S","AM",9,"17 May 2016","Cherry",142,234,92,0.6068376068,135
28,"HBA","ROW","3A","S","PM",15,"17 May 2016","Cherry",92,138,46,0.6666666667,136
31,"HBA","ROW","3B","N","AM",9,"17 May 2016","Cherry",58,108,50,0.537037037,137
31,"HBA","ROW","3B","N","PM",15,"17 May 2016","Cherry",131,179,48,0.7318435754,138
32,"HBA","ROW","3B","S","AM",9,"17 May 2016","Cherry",154,305,151,0.5049180328,139
32,"HBA","ROW","3B","S","PM",15,"17 May 2016","Cherry",103,156,53,0.6602564103,140
35,"HBA","ROW","3C","N","AM",9,"17 May 2016","Cherry",65,118,53,0.5508474576,141
35,"HBA","ROW","3C","N","PM",15,"17 May 2016","Cherry",137,225,88,0.6088888889,142
36,"HBA","ROW","3C","S","AM",9,"17 May 2016","Cherry",36,171,135,0.2105263158,143
36,"HBA","ROW","3C","S","PM",15,"17 May 2016","Cherry",127,226,99,0.5619469027,144
1,"CSO","CANOPY","1A","N","AM",9,"17 May 2016","Other angiosperm","NA","NA","NA","NA",1
1,"CSO","CANOPY","1A","N","PM",15,"17 May 2016","Other angiosperm",2,13,13,0.1538461538,2
2,"CSO","CANOPY","1A","S","AM",9,"17 May 2016","Other angiosperm","NA","NA","NA","NA",3
2,"CSO","CANOPY","1A","S","PM",15,"17 May 2016","Other angiosperm",2,21,21,0.0952380952,4
5,"CSO","CANOPY","1B","N","AM",9,"17 May 2016","Other angiosperm","NA","NA","NA","NA",5
5,"CSO","CANOPY","1B","N","PM",15,"17 May 2016","Other angiosperm",3,12,12,0.25,6
6,"CSO","CANOPY","1B","S","AM",9,"17 May 2016","Other angiosperm","NA","NA","NA","NA",7
6,"CSO","CANOPY","1B","S","PM",15,"17 May 2016","Other angiosperm",10,54,54,0.1851851852,8
9,"CSO","CANOPY","1C","N","AM",9,"17 May 2016","Other angiosperm","NA","NA","NA","NA",9
9,"CSO","CANOPY","1C","N","PM",15,"17 May 2016","Other angiosperm",4,29,29,0.1379310345,10
10,"CSO","CANOPY","1C","S","AM",9,"17 May 2016","Other angiosperm","NA","NA","NA","NA",11
10,"CSO","CANOPY","1C","S","PM",15,"17 May 2016","Other angiosperm",5,27,26,0.1851851852,12
